"","rating","plan","state","type","ncqa","consumersat","prevention","treatment","instype"
"1219",NA,"MedStar Family Choice","DC","HMO","Yes",NA,NA,NA,"Medicaid"
"924",4.5,"Capital Health Plan","FL","HMO","Yes",4.5,4.5,4,"Commercial"
"1023",4,"AvMed Health Plans","FL","HMO/POS","Yes",4,3,3,"Commercial"
"1121",4,"Florida Health Care Plans","FL","HMO/POS","Yes",4.5,3.5,3.5,"Commercial"
"1220",3.5,"Aetna Life Insurance Company (Florida)","FL","PPO","Yes",3.5,2.5,3,"Commercial"
"1319",3.5,"Cigna Health and Life Insurance","FL","PPO","Yes",3,3,3,"Commercial"
"1418",3.5,"Cigna HealthCare of Florida","FL","HMO/POS","Yes",3.5,3,3,"Commercial"
"1518",3.5,"Connecticut General Life Insurance (Cigna)","FL","PPO","Yes",3,3,3,"Commercial"
"1615",3.5,"Health First Health Plans","FL","HMO/POS","Yes",3,3.5,3.5,"Commercial"
"1714",3,"Aetna Health (Florida)","FL","HMO/POS","Yes",2.5,2.5,3,"Commercial"
"1813",3,"Blue Cross Blue and Shield of Florida (Florida Blue)","FL","PPO","Yes",3.5,2.5,2.5,"Commercial"
"1913",3,"Coventry Health Care of Florida","FL","HMO/POS","Yes",2.5,3,2.5,"Commercial"
"2011",3,"Coventry Health Plan of Florida","FL","HMO","Yes",1.5,3,2.5,"Commercial"
"2111",3,"Health Options","FL","HMO","Yes",2.5,2.5,2.5,"Commercial"
"2210",3,"Humana Medical Plan - Florida","FL","HMO/POS","Yes",2,3,2.5,"Commercial"
"2310",3,"Neighborhood Health Partnership","FL","HMO/POS","Yes",2.5,2.5,2,"Commercial"
"249",3,"United HealthCare Services","FL","PPO","Yes",2.5,2.5,2.5,"Commercial"
"258",3,"UnitedHealthcare Insurance","FL","PPO","Yes",2.5,2.5,2.5,"Commercial"
"268",3,"UnitedHealthcare of Florida","FL","HMO/POS","Yes",2,2.5,2,"Commercial"
"276",2.5,"United Healthcare Insurance","FL","PPO","Yes",2.5,1.5,2,"Commercial"
"285",NA,"Coventry Health and Life  Insurance Company (Florida)","FL","PPO","Yes",NA,NA,NA,"Commercial"
"294",12,"12","FL","12","12",12,12,12,"Commercial"
"925",5,"Capital Health Plan","FL","HMO","Yes",5,4.5,4,"Medicare"
"1024",4.5,"Florida Health Care Plans","FL","HMO/POS","Yes",4.5,4.5,3.5,"Medicare"
"1122",4.5,"Leon Medical Centers Health Plans","FL","HMO","No",5,4,4,"Medicare"
"1221",4,"Aetna Health (Florida)","FL","HMO","Yes",3.5,3.5,3,"Medicare"
"1320",4,"Aetna Life Insurance Company (Florida)","FL","PPO","Yes",3.5,3.5,3.5,"Medicare"
"1419",4,"Aetna Life Insurance Company (Pennsylvania)","FL","PPO","Yes",3.5,3.5,3.5,"Medicare"
"1519",4,"AvMed Health Plans","FL","HMO","Yes",3.5,3,3.5,"Medicare"
"1616",4,"Coventry Health Plan of Florida","FL","HMO","Yes",3,3,3.5,"Medicare"
"1715",4,"Health First Health Plans","FL","HMO/POS","Yes",4,3.5,3.5,"Medicare"
"1814",4,"Humana Medical Plan - Florida","FL","HMO","Yes",3,4,3.5,"Medicare"
"1914",4,"Optimum Healthcare","FL","HMO","Yes",2.5,3.5,4,"Medicare"
"2012",3.5,"CarePlus Health Plans","FL","HMO","No",3.5,4,3.5,"Medicare"
"2112",3.5,"Freedom Health","FL","HMO","Yes",2.5,3.5,3.5,"Medicare"
"2211",3.5,"Health Options","FL","HMO","Yes",4,3,3,"Medicare"
"2311",3.5,"HealthSun Health Plans","FL","HMO","No",4,2.5,3.5,"Medicare"
"2410",3.5,"Humana Health Insurance of Florida","FL","PPO","No",3.5,4,3.5,"Medicare"
"259",3.5,"Medica Healthcare Plans","FL","HMO/POS","No (In process)",4.5,3,3,"Medicare"
"269",3.5,"Preferred Care Partners Health Plan","FL","HMO/POS","Yes (Interim)",4,3,2.5,"Medicare"
"277",3.5,"UnitedHealthcare Insurance","FL","PPO","Yes",3,3.5,3,"Medicare"
"286",3.5,"UnitedHealthcare Insurance","FL","PPO","Yes",3,3,3,"Medicare"
"295",12,"12","FL","12","12",12,12,12,"Medicare"
"926",3.5,"Coventry Health Care of Florida","FL","HMO","Yes",3.5,3,3,"Medicaid"
"1025",3.5,"Humana Medical Plan - Florida","FL","HMO","Yes",2.5,3.5,3,"Medicaid"
"1123",3.5,"WellCare of Florida","FL","HMO","Yes",3,3,3,"Medicaid"
"1222",3,"AMERIGROUP Florida","FL","HMO","No",3,3,3,"Medicaid"
"1321",3,"Molina Healthcare of Florida","FL","HMO","Yes",3,2.5,2.5,"Medicaid"
"1420",3,"Sunshine Health Plan","FL","HMO","Yes",2.5,2.5,2.5,"Medicaid"
"1520",3,"UnitedHealthcare Community Plan","FL","HMO","Yes",3,2.5,2.5,"Medicaid"
"1617",NA,"Florida True Health","FL","HMO","Yes (Interim)",NA,NA,NA,"Medicaid"
"1716",NA,"Freedom Health","FL","HMO","Yes",NA,NA,NA,"Medicaid"
"1815",NA,"Magellan Complete Care","FL","HMO","Yes (Interim)",NA,NA,NA,"Medicaid"
"1915",NA,"Preferred Medical Plan","FL","HMO","No",NA,NA,NA,"Medicaid"
"2013",NA,"Prestige Health Choice","FL","HMO","No",NA,NA,NA,"Medicaid"
"2113",NA,"Simply Healthcare Plans","FL","HMO","No",NA,NA,NA,"Medicaid"
"927",4.5,"Kaiser Foundation Health Plan of Georgia","GA","HMO","Yes",3.5,4.5,4,"Commercial"
"1026",3.5,"Aetna Health (Georgia)","GA","HMO/POS","Yes",3,2.5,3,"Commercial"
"1124",3.5,"Blue Cross Blue Shield Healthcare Plan of Georgia","GA","HMO/POS","Yes",3,3,3,"Commercial"
"1223",3,"Aetna Life Insurance Company (Georgia)","GA","PPO","Yes",3.5,2.5,2.5,"Commercial"
"1322",3,"Cigna Health and Life Insurance","GA","PPO","Yes",2.5,3,2.5,"Commercial"
"1421",3,"Connecticut General Life Insurance (Cigna)","GA","PPO","Yes",2.5,3,2.5,"Commercial"
"1521",3,"Coventry Health Care of Georgia","GA","HMO/POS","Yes",2.5,2.5,2,"Commercial"
"1618",3,"Humana Employers Health Plan of Georgia","GA","HMO/POS","Yes",2.5,3,2.5,"Commercial"
"1717",3,"United HealthCare Services","GA","PPO","Yes",3,2.5,2,"Commercial"
"1816",3,"UnitedHealthcare Insurance","GA","PPO","Yes",3,2.5,2,"Commercial"
"1916",2.5,"Blue Cross Blue Shield of Georgia","GA","PPO","Yes",3,2,1.5,"Commercial"
"2014",2.5,"United Healthcare Insurance","GA","PPO","Yes",2.5,1.5,2,"Commercial"
"2114",2.5,"UnitedHealthcare of Georgia","GA","HMO/POS","Yes",2.5,2,1.5,"Commercial"
"2212",2,"Cigna HealthCare of Georgia","GA","HMO/POS","Yes",2.5,2,NA,"Commercial"
"2312",NA,"Alliant Health Plans","GA","PPO","Yes",NA,NA,NA,"Commercial"
"2411",NA,"Special Agents Mutual Benefit Association","GA","PPO","No",3,NA,NA,"Commercial"
"2510",NA,"Compass Rose Health Plan","GA","PPO","No",NA,NA,NA,"Commercial"
"928",5,"Kaiser Foundation Health Plan of Georgia","GA","HMO","Yes",4.5,4.5,4,"Medicare"
"1027",4,"Aetna Life Insurance Company (Georgia)","GA","PPO","Yes",3.5,3.5,3.5,"Medicare"
"1125",4,"Aetna Life Insurance Company (Pennsylvania)","GA","PPO","Yes",3.5,3.5,3.5,"Medicare"
"1224",3.5,"Aetna Health (Georgia)","GA","HMO","Yes",3,3,3,"Medicare"
"1323",3.5,"Humana Employers Health Plan of Georgia","GA","HMO","Yes",3.5,2.5,2.5,"Medicare"
"1422",3.5,"Humana Insurance (Ohio)","GA","PPO","Yes",3.5,3.5,3,"Medicare"
"1522",3.5,"UnitedHealthcare Insurance","GA","PPO","Yes",3,3.5,3,"Medicare"
"1619",3,"HealthSpring Life and Health (H2165)","GA","HMO","No",3.5,3,2.5,"Medicare"
"1718",3,"Humana Insurance","GA","PPO","No",4,3,3,"Medicare"
"1817",3,"UnitedHealthcare Insurance","GA","HMO","Yes",2.5,2.5,2.5,"Medicare"
"1917",2.5,"Care Improvement Plus South Central Insurance (H6528)","GA","PPO","No",2.5,2.5,2,"Medicare"
"2015",2.5,"Care Improvement Plus South Central Insurance (R3444)","GA","PPO","No",3,2.5,2,"Medicare"
"2115",2.5,"Care Improvement Plus South Central Insurance (R9896)","GA","PPO","No",3,3,2.5,"Medicare"
"2213",2.5,"Coventry Health Care of Georgia","GA","HMO","No",3,2,2,"Medicare"
"2313",2.5,"UnitedHealthcare Insuranceʠ","GA","PPO","No",2,2,2.5,"Medicare"
"2412",2.5,"WellCare of Georgia","GA","HMO/POS","Yes",2.5,2,2,"Medicare"
"2511",2,"HealthSpring Life and Health (H7811)","GA","HMO","No",2.5,2,2,"Medicare"
"2610",NA,"Care Improvement Plus South Central Insurance","GA","HMO/POS","No",NA,2,2,"Medicare"
"278",NA,"Cigna HealthCare of Georgia","GA","HMO","No",NA,NA,1.5,"Medicare"
"287",NA,"HealthSpring Life and Health (H6972)","GA","HMO","No",NA,NA,2,"Medicare"
"296",12,"12","GA","12","12",12,12,12,"Medicare"
"929",3.5,"Peach State Health Plan","GA","HMO","Yes",3,3.5,2.5,"Medicaid"
"1028",3.5,"WellCare of Georgia","GA","HMO","Yes",3.5,3,2.5,"Medicaid"
"1126",3,"AmeriGroup Georgia Managed Care","GA","HMO","Yes",3,3,2.5,"Medicaid"
"930",4.5,"Hawaii Medical Service Association (Federal Plan 87)","HI","HMO/POS","Yes",5,3.5,3.5,"Commercial"
"1029",4.5,"Kaiser Foundation Health Plan - Hawaii","HI","HMO","Yes",3,4.5,4,"Commercial"
"1127",4,"Hawaii Medical Service Association","HI","HMO/POS","Yes",3.5,3.5,3,"Commercial"
"1225",4,"Hawaii Medical Service Association","HI","PPO","Yes",4,3.5,3,"Commercial"
"1324",2.5,"United Healthcare Insurance","HI","PPO","Yes",2.5,1.5,2,"Commercial"
"1423",NA,"Aetna Life Insurance Company (Hawaii)","HI","PPO","Yes",NA,NA,NA,"Commercial"
"1523",NA,"Special Agents Mutual Benefit Association","HI","PPO","No",3,NA,NA,"Commercial"
"1620",NA,"UnitedHealthcare Insurance","HI","PPO","Yes",NA,NA,NA,"Commercial"
"1719",NA,"UnitedHealthcare Services","HI","PPO","Yes",NA,NA,NA,"Commercial"
"1818",NA,"Compass Rose Health Plan","HI","PPO","No",NA,NA,NA,"Commercial"
"1918",NA,"UHA","HI","POS","No",NA,NA,NA,"Commercial"
"931",4.5,"Kaiser Foundation Health Plan - Hawaii","HI","HMO","Yes",4,4.5,4.5,"Medicare"
"1030",4,"Aetna Life Insurance Company (Hawaii)","HI","PPO","Yes",3.5,3.5,3.5,"Medicare"
"1128",4,"Aetna Life Insurance Company (Pennsylvania)","HI","PPO","Yes",3.5,3.5,3.5,"Medicare"
"1226",3.5,"CHA HMO (Hawaii/Iowa)","HI","HMO","No",3.5,4,3.5,"Medicare"
"1325",3.5,"Hawaii Medical Service Association (H3832)","HI","PPO","Yes",3,3.5,3,"Medicare"
"1424",3.5,"Humana Insurance (Ohio)","HI","PPO","Yes",3.5,3.5,3,"Medicare"
"1524",3.5,"UnitedHealthcare Insurance","HI","PPO","Yes",3,3.5,3,"Medicare"
"1621",3.5,"UnitedHealthcare Insurance","HI","PPO","Yes",2.5,2.5,3,"Medicare"
"1720",3,"UnitedHealthcare Insurance (Regional)","HI","PPO","Yes",2.5,2,3,"Medicare"
"1819",3,"WellCare Health Insurance of Arizona","HI","POS","Yes",2,2,2.5,"Medicare"
"1919",2,"AlohaCareʠ","HI","HMO","No",2.5,2,2,"Medicare"
"932",5,"Kaiser Foundation Health Plan - Hawaii","HI","HMO","Yes",4,4.5,4,"Medicaid"
"1031",3.5,"WellCare Health Insurance of Arizona (Aged, Blind and Disabled)","HI","HMO","Yes",3.5,2.5,3.5,"Medicaid"
"1129",3,"Hawaii Medical Service Association","HI","HMO","Yes",2.5,2.5,2.5,"Medicaid"
"1227",3,"WellCare Health Insurance of Arizona (AZ Medicaid)","HI","HMO","Yes",2.5,2,2.5,"Medicaid"
"1326",2.5,"UnitedHealthcare Community Plan HI QExA","HI","HMO","Yes",2.5,1,3,"Medicaid"
"1425",2.5,"UnitedHealthcare Community Plan HI QExA (Quest)","HI","HMO","Yes",2.5,1.5,2.5,"Medicaid"
"1525",2,"AlohaCare","HI","HMO","Yes (Interim)",2.5,2,2,"Medicaid"
"933",4,"Group Health Cooperative","ID","HMO","Yes",2.5,4,4,"Commercial"
"1032",4,"SelectHealth","ID","HMO/POS","Yes",3,3.5,3.5,"Commercial"
"1130",3.5,"Altius Health Plans","ID","HMO/POS","Yes",3,2.5,3,"Commercial"
"1228",3.5,"Group Health Options","ID","HMO/POS","Yes",1.5,3.5,3.5,"Commercial"
"1327",3,"United HealthCare Services","ID","PPO","Yes",3,2,2.5,"Commercial"
"1426",3,"UnitedHealthcare Insurance","ID","PPO","Yes",3,2,2.5,"Commercial"
"1526",2.5,"Aetna Life Insurance Company (Idaho)","ID","PPO","Yes",3,2,2.5,"Commercial"
"1622",2.5,"PacificSource Health Plans - Idaho","ID","PPO","Yes",2,2,2,"Commercial"
"1721",2.5,"Regence BlueShield of Idaho","ID","PPO","No (Scheduled)",2.5,2.5,2.5,"Commercial"
"1820",2.5,"United Healthcare Insurance","ID","PPO","Yes",2.5,1.5,2,"Commercial"
"1920",NA,"Blue Cross of Idaho Health Services","ID","PPO","Yes (Interim)",NA,NA,NA,"Commercial"
"2016",NA,"Blue Cross of Idaho Health Services (Idaho)","ID","POS","Yes (Interim)",NA,NA,NA,"Commercial"
"2116",NA,"Montana Health Cooperative","ID","PPO","Yes (Interim)",NA,NA,NA,"Commercial"
"2214",NA,"Montana Health Cooperative","ID","POS","Yes (Interim)",NA,NA,NA,"Commercial"
"2314",NA,"Special Agents Mutual Benefit Association","ID","PPO","No",3,NA,NA,"Commercial"
"2413",NA,"Compass Rose Health Plan","ID","PPO","No",NA,NA,NA,"Commercial"
"934",4.5,"Group Health Cooperative","ID","HMO","Yes",4,4.5,4,"Medicare"
"1033",4,"Aetna Life Insurance Company (Pennsylvania)","ID","PPO","Yes",3.5,3.5,3.5,"Medicare"
"1131",4,"SelectHealth","ID","POS","No",4.5,3.5,3.5,"Medicare"
"1229",3.5,"Blue Cross of Idaho Health Services","ID","HMO","No",4,3,3,"Medicare"
"1328",3.5,"Humana Health Plan - Kentucky","ID","HMO","Yes",3,3,3,"Medicare"
"1427",3.5,"Humana Insurance (Ohio)","ID","PPO","Yes",3.5,3.5,3,"Medicare"
"1527",3.5,"PacificSource","ID","HMO/POS","No",4,3.5,3,"Medicare"
"1623",3.5,"UnitedHealthcare Insurance","ID","PPO","Yes",3,3.5,3,"Medicare"
"1722",3.5,"UnitedHealthcare Insurance","ID","PPO","Yes",4,2.5,3,"Medicare"
"1821",3,"PacificSource","ID","PPO","No",3.5,2,3,"Medicare"
"1921",3,"Regence BlueShield of Idaho","ID","PPO","No (Scheduled)",3.5,3,3,"Medicare"
"2017",2.5,"Blue Cross of Idaho Health Services","ID","PPO","No",3.5,1.5,2.5,"Medicare"
"120",NA,"[ No Data Submitted for Accounts ]","ID","[ No Data Submitted for Accounts ]","[ No Data Submitted for Accounts ]",NA,NA,NA,"Medicaid"
"935",4,"Health Alliance Medical Plans","IL","HMO/POS","Yes",3,3.5,3.5,"Commercial"
"1034",4,"Medical Associates Health Plan","IL","HMO/POS","Yes",4,3,4,"Commercial"
"1132",3.5,"Aetna Life Insurance Company (Illinois)","IL","PPO","Yes",3,3,3,"Commercial"
"1230",3.5,"Cigna Health and Life Insurance","IL","PPO","Yes",2.5,3.5,3.5,"Commercial"
"1329",3.5,"Connecticut General Life Insurance (Cigna)","IL","PPO","Yes",2.5,3.5,3.5,"Commercial"
"1428",3.5,"Coventry Health Care of Illinois","IL","HMO/POS","Yes",3.5,2.5,3.5,"Commercial"
"1528",3.5,"Coventry Health Care of Missouri","IL","HMO/POS","Yes",4,3,3,"Commercial"
"1624",3.5,"Health Alliance Medical Plans","IL","PPO","Yes",2.5,3.5,3,"Commercial"
"1723",3.5,"HMO Illinois and Blue Advantage HMO","IL","HMO","Yes",3,3,3.5,"Commercial"
"1822",3.5,"Humana Benefit Plan of Illinois","IL","HMO","No",4.5,NA,NA,"Commercial"
"1922",3.5,"Humana Health Plan - Chicago Market","IL","HMO/POS","Yes",3,2.5,3,"Commercial"
"2018",3.5,"Humana Insurance (Illinois)","IL","PPO","Yes",3.5,3,3,"Commercial"
"2117",3,"Aetna Health (Pennsylvania) - Missouri","IL","HMO/POS","Yes",NA,2,2.5,"Commercial"
"2215",3,"Aetna Health (Pennsylvania) -Illinois","IL","HMO/POS","Yes",1.5,2.5,2.5,"Commercial"
"2315",3,"Coventry Health and Life Insurance Company (Illinois)","IL","PPO","Yes",3.5,2,3,"Commercial"
"2414",3,"Coventry Health and Life Insurance Company (Missouri)","IL","PPO","Yes",3.5,2.5,2.5,"Commercial"
"2512",3,"Coventry Health Care of Illinois","IL","PPO","Yes",3.5,2,3,"Commercial"
"2611",3,"Humana Health Plan","IL","HMO/POS","Yes",1.5,3,2.5,"Commercial"
"279",3,"United HealthCare Services","IL","PPO","Yes",3,2.5,3,"Commercial"
"288",3,"UnitedHealthcare Insurance","IL","PPO","Yes",3,2.5,3,"Commercial"
"297",12,"12","IL","12","12",12,12,12,"Commercial"
"936",5,"Medical Associates Health Plan","IL","HMO","Yes",5,4.5,4,"Medicare"
"1035",4.5,"Health Alliance Medical Plans","IL","HMO","Yes",4,4.5,3.5,"Medicare"
"1133",4.5,"Humana Benefit Plan of Illinois","IL","HMO","Yes",4,4,4,"Medicare"
"1231",4,"Aetna Life Insurance Company (Illinois)","IL","PPO","Yes",3.5,3.5,3.5,"Medicare"
"1330",4,"Aetna Life Insurance Company (Pennsylvania)","IL","PPO","Yes",3.5,3.5,3.5,"Medicare"
"1429",4,"Essence Healthcare","IL","HMO","No",5,4.5,3.5,"Medicare"
"1529",4,"Health Alliance Medical Plans","IL","PPO","Yes",4.5,3.5,3,"Medicare"
"1625",4,"Humana Health Plan","IL","HMO","Yes",3.5,3.5,3.5,"Medicare"
"1724",4,"Humana Health Plan - Chicago Market","IL","HMO","Yes",3,3,3.5,"Medicare"
"1823",3.5,"Coventry Health Care of Illinois","IL","PPO","No",3.5,3,3.5,"Medicare"
"1923",3.5,"Coventry Health Care of Missouri (H2663)","IL","HMO/POS","No",3.5,4.5,3.5,"Medicare"
"2019",3.5,"Coventry Health Care of Missouri (H2667)","IL","HMO/POS","No",4,4.5,3.5,"Medicare"
"2118",3.5,"HealthSpring of Tennessee (H4454)","IL","HMO","No",3.5,4,3.5,"Medicare"
"2216",3.5,"Humana Benefit Plan of Illinois","IL","PPO","No",3.5,3.5,3,"Medicare"
"2316",3.5,"Humana Insurance (Illinois)","IL","PPO","Yes",3,2.5,3,"Medicare"
"2415",3.5,"Humana Insurance (KS, MO)","IL","PPO","Yes",3.5,3,3,"Medicare"
"2513",3.5,"United Healthcare Insurance","IL","PPO","Yes",3.5,3.5,3,"Medicare"
"2612",3.5,"UnitedHealthcare Insurance","IL","PPO","Yes",3,3.5,3,"Medicare"
"2710",3.5,"UnitedHealthcare of the Midwest","IL","HMO/POS","Yes",3.5,3,3,"Medicare"
"289",3,"Blue Cross and Blue Shield of Illinois/Blue Cross Blue Shield of New Mexico (H3822)","IL","HMO","No",3,3.5,2.5,"Medicare"
"298",12,"12","IL","12","12",12,12,12,"Medicare"
"937",4,"Meridian Health Plan of Illinois","IL","HMO","Yes",3,3.5,3,"Medicaid"
"1036",2.5,"Harmony Health Plan of Illinois","IL","HMO","Yes",1.5,2,2,"Medicaid"
"1134",2.5,"Molina Healthcare of Illinois","IL","HMO","No",2.5,NA,2.5,"Medicaid"
"1232",2,"Aetna Better Health","IL","HMO","No",3,NA,2.5,"Medicaid"
"1331",NA,"IlliniCare Health Plan","IL","HMO","Yes",NA,NA,NA,"Medicaid"
"1430",NA,"Community Care Alliance of Illinois","IL","HMO","No",NA,NA,NA,"Medicaid"
"1530",NA,"CountyCare Health Plan","IL","HMO","No",NA,NA,NA,"Medicaid"
"1626",NA,"Family Health Network","IL","HMO","No",NA,NA,NA,"Medicaid"
"1725",NA,"Health Alliance Connect (Aged,Blind,Disabled)","IL","HMO","No",NA,NA,NA,"Medicaid"
"1824",NA,"Health Alliance Connect (IL Medicaid)","IL","HMO","No",NA,NA,NA,"Medicaid"
"938",3.5,"Aetna Health (Pennsylvania) - Ohio","IN","HMO/POS","Yes",3,3,3,"Commercial"
"1037",3.5,"Aetna Life Insurance Company (Indiana)","IN","PPO","Yes",3.5,2.5,2.5,"Commercial"
"1135",3.5,"Anthem Blue Cross and Blue Shield in Indiana","IN","HMO","Yes",4,2.5,3,"Commercial"
"1233",3.5,"Anthem Blue Cross and Blue Shield in Indiana","IN","PPO","Yes",2.5,3.5,3,"Commercial"
"1332",3.5,"HMO Illinois and Blue Advantage HMO","IN","HMO","Yes",3,3,3.5,"Commercial"
"1431",3,"ADVANTAGE Health Solutions","IN","HMO/POS","Yes",3,3,2.5,"Commercial"
"1531",3,"Aetna Health (Pennsylvania) -Illinois","IN","HMO/POS","Yes",1.5,2.5,2.5,"Commercial"
"1627",3,"Humana Health Plan","IN","HMO/POS","Yes",1.5,3,2.5,"Commercial"
"1726",3,"United HealthCare Services","IN","PPO","Yes",3,2,2.5,"Commercial"
"1825",3,"UnitedHealthcare Insurance","IN","PPO","Yes",3,2,2.5,"Commercial"
"1924",2,"Cigna Health and Life Insurance","IN","PPO","Yes",3,1.5,1.5,"Commercial"
"2020",2,"Connecticut General Life Insurance (Cigna)","IN","PPO","Yes",3,1.5,1.5,"Commercial"
"2119",NA,"Cigna HealthCare of Illinois","IN","HMO/POS","Yes",NA,NA,NA,"Commercial"
"2217",NA,"Cigna HealthCare of Indiana","IN","HMO/POS","Yes",NA,NA,NA,"Commercial"
"2317",NA,"Special Agents Mutual Benefit Association","IN","PPO","No",3,NA,NA,"Commercial"
"2416",NA,"Bluegrass Family Health","IN","PPO","No",NA,NA,NA,"Commercial"
"2514",NA,"Compass Rose Health Plan","IN","PPO","No",NA,NA,NA,"Commercial"
"939",4,"Aetna Life Insurance Company (Indiana)","IN","PPO","Yes",3.5,3.5,3.5,"Medicare"
"1038",4,"Aetna Life Insurance Company (Pennsylvania)","IN","PPO","Yes",3.5,3.5,3.5,"Medicare"
"1136",4,"Humana Health Plan","IN","HMO","Yes",3.5,3.5,3.5,"Medicare"
"1234",3.5,"Humana Health Plan - Kentucky","IN","HMO","Yes",3,3,3,"Medicare"
"1333",3.5,"Humana Insurance (Ohio)","IN","PPO","Yes",3.5,3.5,3,"Medicare"
"1432",3.5,"Indiana University Health Plans","IN","HMO/POS","No",4.5,4,3.5,"Medicare"
"1532",3.5,"UnitedHealthcare Insurance","IN","PPO","Yes",3,3.5,3,"Medicare"
"1628",3,"ADVANTAGE Health Solutions","IN","HMO","No",3,3,3,"Medicare"
"1727",3,"Humana Insurance","IN","PPO","No",4,3,3,"Medicare"
"1826",3,"Humana Insurance (Indiana)","IN","PPO","No",4,3,3,"Medicare"
"1925",2.5,"ADVANTAGE Health Solutions","IN","PPO","No",3,2.5,2.5,"Medicare"
"2021",2.5,"Care Improvement Plus South Central Insurance (H6528)","IN","PPO","No",2.5,2.5,2,"Medicare"
"2120",2.5,"Care Improvement Plus South Central Insurance (R3444)","IN","PPO","No",3,2.5,2,"Medicare"
"2218",2.5,"Care Improvement Plus South Central Insurance (R9896)","IN","PPO","No",3,3,2.5,"Medicare"
"2318",2,"Care Improvement Plus of Texas (H0084)","IN","PPO","No",2.5,2,2,"Medicare"
"2417",2,"Care Improvement Plus of Texas (R6801)","IN","PPO","No",2.5,2,2,"Medicare"
"2515",NA,"Care Improvement Plus South Central Insurance","IN","HMO/POS","No",NA,2,2,"Medicare"
"2613",NA,"Cigna HealthCare of Indiana","IN","HMO","No",NA,NA,1.5,"Medicare"
"2711",NA,"Anthem Blue Cross and Blue Shield in Indiana","IN","PPO","No",NA,NA,NA,"Medicare"
"2810",NA,"Anthem Blue Cross and Blue Shield in Kentucky (Regional)","IN","PPO","No",NA,NA,NA,"Medicare"
"940",4,"MDwise","IN","HMO","Yes",3.5,4,3,"Medicaid"
"1039",3.5,"Anthem Blue Cross and Blue Shield in Indiana","IN","HMO","Yes",3,3.5,2.5,"Medicaid"
"1137",3.5,"Managed Health Services","IN","HMO","Yes",4,3,2.5,"Medicaid"
"941",4.5,"Gundersen Health Plan","IA","HMO","Yes",3.5,3.5,4,"Commercial"
"1040",4.5,"HealthPartners Administrators","IA","HMO/POS/PPO","Yes",4,4,4.5,"Commercial"
"1138",4,"Health Alliance Midwest","IA","HMO/POS","Yes",3,3.5,3.5,"Commercial"
"1235",4,"Medical Associates Health Plan","IA","HMO/POS","Yes",4,3,4,"Commercial"
"1334",4,"Sanford Health Plan","IA","HMO","Yes",3,3,4,"Commercial"
"1433",4,"Wellmark Health Plan of Iowa","IA","HMO/POS","Yes",3.5,3.5,4,"Commercial"
"1533",3.5,"Coventry Health Care of Iowa","IA","HMO/POS","Yes",3.5,2.5,3.5,"Commercial"
"1629",3.5,"Health Alliance Midwest","IA","PPO","Yes",2.5,3.5,3,"Commercial"
"1728",3.5,"United HealthCare Services","IA","PPO","Yes",3.5,3.5,3,"Commercial"
"1827",3.5,"UnitedHealthcare Insurance","IA","PPO","Yes",3.5,3.5,3,"Commercial"
"1926",3,"UnitedHealthcare Plan of the River Valley","IA","HMO/POS","Yes",3,2.5,2.5,"Commercial"
"2022",3,"UnitedHealthCare Services of the River Valley","IA","HMO/POS","Yes",3,2.5,2.5,"Commercial"
"2121",2.5,"Aetna Life Insurance Company (Iowa)","IA","PPO","Yes",3,2,1.5,"Commercial"
"2219",2,"Cigna Health and Life Insurance","IA","PPO","Yes",2.5,1.5,1.5,"Commercial"
"2319",2,"Connecticut General Life Insurance (Cigna)","IA","PPO","Yes",2.5,1.5,1.5,"Commercial"
"2418",NA,"Avera Health Plans","IA","HMO","Yes (Interim)",NA,NA,NA,"Commercial"
"2516",NA,"Coventry Health and Life Insurance Company (Iowa)","IA","PPO","Yes",NA,NA,NA,"Commercial"
"2614",NA,"Special Agents Mutual Benefit Association","IA","PPO","No",3,NA,NA,"Commercial"
"2712",NA,"Compass Rose Health Plan","IA","PPO","No",NA,NA,NA,"Commercial"
"942",5,"Gundersen Health Plan","IA","HMO","Yes",5,4.5,4,"Medicare"
"1041",5,"Medical Associates Health Plan","IA","HMO","Yes",5,4.5,4,"Medicare"
"1139",4.5,"Health Alliance Midwest (H1463)","IA","HMO","Yes",4,4.5,3.5,"Medicare"
"1236",4,"Aetna Life Insurance Company (Pennsylvania)","IA","PPO","Yes",3.5,3.5,3.5,"Medicare"
"1335",4,"Health Alliance Midwest","IA","PPO","Yes",4.5,3.5,3,"Medicare"
"1434",4,"UnitedHealthcare of the Midlands","IA","HMO","Yes",3.5,4,3.5,"Medicare"
"1534",3.5,"CHA HMO (Hawaii/Iowa)","IA","HMO","No",3.5,4,3.5,"Medicare"
"1630",3.5,"Coventry Health and Life Insurance Company (Iowa)","IA","PPO","No",3.5,3,4,"Medicare"
"1729",3.5,"Coventry Health Care of Iowa","IA","HMO","No",3.5,3,3.5,"Medicare"
"1828",3.5,"Humana Insurance (Illinois)","IA","PPO","Yes",3,2.5,3,"Medicare"
"1927",3.5,"Humana Insurance (Ohio)","IA","PPO","Yes",3.5,3.5,3,"Medicare"
"2023",3.5,"UnitedHealthcare Insurance","IA","PPO","Yes",3,3.5,3,"Medicare"
"2122",2,"Care Improvement Plus of Texas (H0084)","IA","PPO","No",2.5,2,2,"Medicare"
