"","rating","plan","state","type","ncqa","consumersat","prevention","treatment","instype"
"2114",3,"Aetna Health Inc. (Pennsylvania) - Illinois","IL","HMO/POS","Yes",2,2,2.5,"Commercial"
"2213",3,"Coventry Health and Life Insurance Company (Illinois)","IL","PPO","Yes",3,2.5,2.5,"Commercial"
"2310",3,"Coventry Health Care of Illinois, Inc.","IL","PPO","Yes",3,2.5,2.5,"Commercial"
"2410",3,"Humana Health Plan, Inc. (Illinois)","IL","HMO/POS","Yes",2.5,3,2.5,"Commercial"
"259",3,"United Healthcare Services, Inc  (Illinois)","IL","PPO","Yes",3,2.5,2.5,"Commercial"
"268",3,"UnitedHealthcare Insurance Company (Illinois)","IL","PPO","Yes",3,2.5,2.5,"Commercial"
"277",3,"UnitedHealthcare Insurance Company of Illinois","IL","PPO","Yes",3,2.5,2.5,"Commercial"
"285",2.5,"Cigna HealthCare of St. Louis, Inc.","IL","HMO/POS","Yes",2.5,2,1.5,"Commercial"
"295",12,"12","IL","12","12",12,12,12,"Commercial"
"936",5,"Medical Associates Health Plan, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H1651","IL","HMO","Yes",5,5,4,"Medicare"
"1035",4.5,"Health Alliance Connect
                                    
                                        
                                    

                                    
                                        CMS Contract: H1463","IL","HMO","Yes",5,4,3,"Medicare"
"1132",4,"Aetna Health Inc. (Pennsylvania) - Illinois
                                    
                                        
                                    

                                    
                                        CMS Contract: H3931","IL","HMO","Yes",3.5,3.5,3.5,"Medicare"
"1230",4,"Aetna Life Insurance Company (Illinois)
                                    
                                        
                                    

                                    
                                        CMS Contract: H5521","IL","PPO","Yes",4,4,3.5,"Medicare"
"1329",4,"Health Alliance Connect
                                    
                                        
                                    

                                    
                                        CMS Contract: H1417","IL","PPO","Yes",4.5,3,3,"Medicare"
"1426",4,"Humana Benefit Plan of Illinois, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H1468","IL","HMO","Yes",4.5,4,3,"Medicare"
"1524",4,"Humana Health Plan, Inc. (Illinois)
                                    
                                        
                                    

                                    
                                        CMS Contract: H1406","IL","HMO","Yes",3.5,4,3.5,"Medicare"
"1623",4,"Humana Insurance Company (Illinois)
                                    
                                        
                                    

                                    
                                        CMS Contract: H1418","IL","PPO","Yes",3.5,3,3.5,"Medicare"
"1721",4,"Humana Insurance Company (KS, MO)
                                    
                                        
                                    

                                    
                                        CMS Contract: H1716","IL","PPO","Yes",3.5,3,3,"Medicare"
"1819",4,"UnitedHealthcare of Wisconsin, Inc. - North- WI/IL/IA
                                    
                                        
                                    

                                    
                                        CMS Contract: H5253","IL","HMO/POS","Yes",4,4,3,"Medicare"
"1918",3.5,"Coventry Health Care of Illinois, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H7301","IL","PPO","No",4.5,3,3,"Medicare"
"2015",3.5,"Coventry Health Care of Missouri, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H2667","IL","HMO/POS","No",4,3.5,3,"Medicare"
"2115",3.5,"Coventry Health Care of Missouri, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H2663","IL","HMO/POS","No",3.5,4,3.5,"Medicare"
"2214",3.5,"UnitedHealthcare of the Midwest, Inc.(Medicare)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2654","IL","HMO/POS","Yes",3,3,3,"Medicare"
"2311",3,"Coventry Health and Life Insurance Company (Iowa)
                                    
                                        
                                    

                                    
                                        CMS Contract: H1608","IL","PPO","No",3.5,3.5,3,"Medicare"
"2411",3,"HealthSpring of Tennessee dba Cigna-HealthSpring of Illinois
                                    
                                        
                                    

                                    
                                        CMS Contract: H1415","IL","HMO","No (Scheduled)",2.5,3,3,"Medicare"
"2510",3,"Humana Benefit Plan of Illinois, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H5525","IL","PPO","No",3.5,3,3,"Medicare"
"269",3,"Humana Insurance Company
                                    
                                        
                                    

                                    
                                        CMS Contract: R5826","IL","PPO","No",3.5,2.5,3,"Medicare"
"278",2.5,"Care Improvement Plus South Central Insurance Company
                                    
                                        
                                    

                                    
                                        CMS Contract: R9896","IL","PPO","No",3,3,2.5,"Medicare"
"286",2.5,"Care Improvement Plus South Central Insurance Company
                                    
                                        
                                    

                                    
                                        CMS Contract: H6528","IL","PPO","No",3,2.5,2.5,"Medicare"
"296",123,"123","IL","123","123",123,123,123,"Medicare"
"937",3.5,"IlliniCare Health Plan","IL","HMO","Yes",3,2.5,3,"Medicaid"
"1036",3.5,"Meridian Health Plan of Illinois, Inc.","IL","HMO","Yes",2.5,4,3,"Medicaid"
"1133",3,"Harmony Health Plan of Illinois, Inc.
                                    
                                        
                                    

                                    
                                        Special Area: IL Region","IL","HMO","Yes",2,3,2,"Medicaid"
"1231",3,"Health Alliance Connect
                                    
                                        
                                    

                                    
                                        Special Project: Illinois - FHP","IL","HMO","No (Scheduled)",4,2.5,3.5,"Medicaid"
"1330",3,"Health Alliance Connect
                                    
                                        
                                    

                                    
                                        Special Project: Illinois - ICP","IL","HMO","No (Scheduled)",4,NA,3,"Medicaid"
"1427",2.5,"Aetna Better Health Inc., an Illinois Corporation
                                    
                                        
                                    

                                    
                                        Special Project: Illinois - FHP","IL","HMO","No",3,2,2.5,"Medicaid"
"1525",2.5,"Humana Health Plan, Inc. (Illinois)","IL","HMO","No (Scheduled)",1.5,NA,2.5,"Medicaid"
"1624",2.5,"Molina Healthcare of Illinois, Inc.","IL","HMO","No (In process)",2.5,2.5,2.5,"Medicaid"
"1722",2,"Aetna Better Health Inc., an Illinois Corporation
                                    
                                        
                                    

                                    
                                        Special Project: Illinois - ICP","IL","HMO","No",3,1,2.5,"Medicaid"
"1820",2,"HealthSpring of Tennessee dba Cigna-HealthSpring of Illinois
                                    
                                        
                                    

                                    
                                        Special Project: ICP","IL","HMO","No (Scheduled)",3,NA,2,"Medicaid"
"1919",NA,"Aetna Better Health of Illinois","IL","HMO","Yes (Interim)",NA,NA,NA,"Medicaid"
"2016",NA,"Blue Cross and Blue Shield of Illinois, a Division of Health Care Service Corporation","IL","HMO","No (Scheduled)",NA,NA,NA,"Medicaid"
"2116",NA,"Blue Cross and Blue Shield of Illinois/Blue Cross Blue Shield of New Mexico
                                    
                                        
                                    

                                    
                                        Special Project: Illinois - FHP","IL","HMO","No",NA,NA,NA,"Medicaid"
"2215",NA,"Blue Cross and Blue Shield of Illinois/Blue Cross Blue Shield of New Mexico
                                    
                                        
                                    

                                    
                                        Special Project: Illinois - ICP","IL","HMO","No",NA,NA,NA,"Medicaid"
"2312",NA,"Community Care Alliance of Illinois","IL","HMO","No (Scheduled)",NA,NA,NA,"Medicaid"
"2412",NA,"CountyCare Health Plan
                                    
                                        
                                    

                                    
                                        Special Project: Illinois - FHP","IL","HMO","No",NA,NA,NA,"Medicaid"
"2511",NA,"CountyCare Health Plan
                                    
                                        
                                    

                                    
                                        Special Project: Illinois - ICP","IL","HMO","No",NA,NA,NA,"Medicaid"
"2610",NA,"Family Health Network","IL","HMO","No (Scheduled)",NA,NA,NA,"Medicaid"
"938",4,"Blue Cross and Blue Shield of Illinois, a Division of Health Care Service Corporation","IN","HMO","Yes",3,3.5,3.5,"Commercial"
"1037",3.5,"Aetna Life Insurance Company (Indiana)","IN","PPO","Yes",4,2.5,2.5,"Commercial"
"1134",3.5,"Anthem Insurance Companies, Inc. dba Anthem Blue Cross and Blue Shield in Indiana","IN","PPO","Yes",3,3.5,3,"Commercial"
"1232",3,"Aetna Health Inc. (Pennsylvania) - Illinois","IN","HMO/POS","Yes",2,2,2.5,"Commercial"
"1331",3,"Aetna Health Inc. (Pennsylvania) - Ohio","IN","HMO/POS","Yes",2.5,2.5,2.5,"Commercial"
"1428",3,"United Healthcare Services, Inc  (Indiana)","IN","PPO","Yes",3,2.5,2.5,"Commercial"
"1526",3,"UnitedHealthcare Insurance Company (Indiana)","IN","PPO","Yes",3,2.5,2.5,"Commercial"
"1625",2.5,"ADVANTAGE Health Solutions, Inc","IN","HMO/POS","No",NA,3,2,"Commercial"
"1723",2.5,"Anthem Insurance Companies, Inc. dba Anthem Blue Cross and Blue Shield in Indiana","IN","HMO","Yes",2.5,2,2,"Commercial"
"1821",2.5,"Cigna Health and Life Insurance Company - Indiana","IN","PPO","Yes",3.5,1.5,2,"Commercial"
"1920",2.5,"Connecticut General Life Insurance Company - Indiana","IN","PPO","Yes",3.5,1.5,2,"Commercial"
"2017",NA,"Cigna HealthCare of Illinois, Inc.","IN","HMO/POS","Yes",NA,NA,NA,"Commercial"
"2117",NA,"Cigna HealthCare of Indiana, Inc","IN","HMO/POS","Yes",NA,NA,NA,"Commercial"
"2216",NA,"Compass Rose Health Plan","IN","PPO","No",NA,NA,NA,"Commercial"
"939",4,"Aetna Life Insurance Company (Indiana)
                                    
                                        
                                    

                                    
                                        CMS Contract: H5521","IN","PPO","Yes",4,4,3.5,"Medicare"
"1038",4,"Indiana University Health Plans, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H7220","IN","HMO/POS","No",4.5,4,3.5,"Medicare"
"1135",3.5,"Humana Insurance Company (Indiana)
                                    
                                        
                                    

                                    
                                        CMS Contract: H1510","IN","PPO","No",4,3,3.5,"Medicare"
"1233",3.5,"UnitedHealthcare of the Midlands, Inc.-IN
                                    
                                        
                                    

                                    
                                        CMS Contract: H2802","IN","HMO","No (In process)",4,4,3.5,"Medicare"
"1332",3,"Humana Benefit Plan of Illinois, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H5525","IN","PPO","No",3.5,3,3,"Medicare"
"1429",3,"Humana Insurance Company
                                    
                                        
                                    

                                    
                                        CMS Contract: R5826","IN","PPO","No",3.5,2.5,3,"Medicare"
"1527",2.5,"Care Improvement Plus South Central Insurance Company
                                    
                                        
                                    

                                    
                                        CMS Contract: R9896","IN","PPO","No",3,3,2.5,"Medicare"
"1626",2.5,"Care Improvement Plus South Central Insurance Company
                                    
                                        
                                    

                                    
                                        CMS Contract: H6528","IN","PPO","No",3,2.5,2.5,"Medicare"
"1724",2.5,"Care Improvement Plus South Central Insurance Company
                                    
                                        
                                    

                                    
                                        CMS Contract: H5322","IN","HMO/POS","No",2.5,3,2.5,"Medicare"
"1822",2,"Care Improvement Plus South Central Insurance Company
                                    
                                        
                                    

                                    
                                        CMS Contract: R3444","IN","PPO","No",2,1.5,2.5,"Medicare"
"1921",2,"Cigna HealthCare of Indiana, Inc
                                    
                                        
                                    

                                    
                                        CMS Contract: H3945","IN","HMO","No",1.5,2,2,"Medicare"
"2018",NA,"Sierra Health and Life Insurance Company, Inc. (IN,MI,OH)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2001","IN","PPO","Yes",NA,3.5,3,"Medicare"
"2118",NA,"UnitedHealthcare Insurance Company (IN,IL,MI,MN,OH,WI)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2228","IN","PPO","Yes",NA,1.5,2.5,"Medicare"
"2217",NA,"UnitedHealthcare Insurance Company (MA/RI)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2228","IN","PPO","Yes",NA,1.5,2.5,"Medicare"
"2313",NA,"Anthem Insurance Companies, Inc. dba Anthem Blue Cross and Blue Shield in Indiana (Regional)
                                    
                                        
                                    

                                    
                                        CMS Contract: R5941","IN","PPO","No",NA,NA,NA,"Medicare"
"940",3.5,"Anthem Insurance Companies, Inc. dba Anthem Blue Cross and Blue Shield in Indiana
                                    
                                        
                                    

                                    
                                        Special Project: IN Medicaid","IN","HMO","Yes",3.5,3.5,2.5,"Medicaid"
"1039",3.5,"Anthem Insurance Companies, Inc. dba Anthem Blue Cross and Blue Shield in Indiana
                                    
                                        
                                    

                                    
                                        Special Project: IN-HCC","IN","HMO","Yes",3,NA,3,"Medicaid"
"1136",3.5,"Coordinated Care Corporation Indiana, Inc. (d/b/a Managed Health Services)","IN","HMO","Yes",3.5,3,2.5,"Medicaid"
"1234",3.5,"MDwise, Inc.","IN","HMO","Yes",3,3.5,3,"Medicaid"
"1333",3,"Anthem Insurance Companies, Inc. dba Anthem Blue Cross and Blue Shield in Indiana
                                    
                                        
                                    

                                    
                                        Special Project: IN HIP-Medicaid","IN","HMO","Yes",3,NA,2.5,"Medicaid"
"1430",NA,"Coordinated Care Corporation Indiana, Inc. (d/b/a Managed Health Services)
                                    
                                        
                                    

                                    
                                        Special Project: IN Medicaid","IN","HMO","Yes",3,NA,NA,"Medicaid"
"1528",NA,"Coordinated Care Corporation Indiana, Inc. (d/b/a Managed Health Services)
                                    
                                        
                                    

                                    
                                        Special Project: IN HIP-Medicaid","IN","HMO","Yes",NA,NA,2.5,"Medicaid"
"1627",NA,"CareSource Indiana, Inc.","IN","HMO","No (Scheduled)",NA,NA,NA,"Medicaid"
"941",4.5,"Gundersen Health Plan, Inc.","IA","HMO","Yes",3,4,4,"Commercial"
"1040",4.5,"HealthPartners Administrators Inc.","IA","HMO/POS/PPO","Yes",4,4,4.5,"Commercial"
"1137",4.5,"Wellmark Health Plan of Iowa, Inc.","IA","HMO/POS","Yes",3.5,4,4,"Commercial"
"1235",4,"Health Alliance Midwest, Inc.","IA","HMO/POS","Yes",3.5,3.5,3.5,"Commercial"
"1334",4,"Medical Associates Health Plan, Inc.
                                    
                                        
                                    

                                    
                                        Special Project: Accreditation","IA","HMO/POS","Yes",4,3.5,4,"Commercial"
"1431",4,"Sanford Health Plan","IA","HMO","Yes",3,3,4,"Commercial"
"1529",3.5,"United Healthcare Services, Inc  (Iowa)","IA","PPO","Yes",3,3,3,"Commercial"
"1628",3.5,"UnitedHealthcare Insurance Company (Iowa)","IA","PPO","Yes",3,3,3,"Commercial"
"1725",3.5,"UnitedHealthcare Plan of the River Valley, Inc.","IA","HMO/POS","Yes",3.5,2.5,3,"Commercial"
"1823",3.5,"UnitedHealthcare Services Company of the River Valley, Inc.","IA","HMO/POS","Yes",3.5,2.5,3,"Commercial"
"1922",3,"Aetna Health of Iowa Inc. dba Coventry Health Care of Iowa","IA","HMO/POS","Yes",2,2.5,2.5,"Commercial"
"2019",3,"Aetna Life Insurance Company (Iowa)","IA","PPO","Yes",3,2,2,"Commercial"
"2119",3,"Avera Health Plans, Inc.","IA","HMO","Yes",3.5,2,3,"Commercial"
"2218",3,"Cigna Health and Life Insurance Company - Iowa","IA","PPO","Yes",3,2.5,2,"Commercial"
"2314",3,"Connecticut General Life Insurance Company - Iowa","IA","PPO","Yes",3,2.5,2,"Commercial"
"2413",NA,"Coventry Health and Life Insurance Company (Iowa)","IA","PPO","Yes",NA,NA,NA,"Commercial"
"2512",NA,"Compass Rose Health Plan","IA","PPO","No",NA,NA,NA,"Commercial"
"2611",NA,"Wellmark, Inc. d/b/a Wellmark Blue Cross and Blue Shield of Iowa","IA","PPO","No (Scheduled)",NA,NA,NA,"Commercial"
"942",5,"Gundersen Health Plan, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H5262","IA","HMO","Yes",5,4,4,"Medicare"
"1041",5,"Medical Associates Health Plan, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H1651","IA","HMO","Yes",5,5,4,"Medicare"
"1138",4,"Humana Insurance Company (Illinois)
                                    
                                        
                                    

                                    
                                        CMS Contract: H1418","IA","PPO","Yes",3.5,3,3.5,"Medicare"
"1236",4,"UnitedHealthcare of the Midlands
                                    
                                        
                                    

                                    
                                        CMS Contract: H2802","IA","HMO","Yes",4,4,3.5,"Medicare"
"1335",4,"UnitedHealthcare of Wisconsin, Inc. - North- WI/IL/IA
                                    
                                        
                                    

                                    
                                        CMS Contract: H5253","IA","HMO/POS","Yes",4,4,3,"Medicare"
"1432",3.5,"Aetna Health of Iowa Inc. dba Coventry Health Care of Iowa
                                    
                                        
                                    

                                    
                                        CMS Contract: H1609","IA","HMO","No",3.5,3,3.5,"Medicare"
"1530",3.5,"CHA HMO, Inc (Hawaii/Iowa)
                                    
                                        
                                    

                                    
                                        CMS Contract: H0028","IA","HMO","No",NA,3.5,3.5,"Medicare"
"1629",3,"Coventry Health and Life Insurance Company (Iowa)
                                    
                                        
                                    

                                    
                                        CMS Contract: H1608","IA","PPO","No",3.5,3.5,3,"Medicare"
"1726",NA,"Health Alliance Midwest, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H1737","IA","HMO","Yes",NA,0.5,1.5,"Medicare"
"1824",NA,"Health Alliance Midwest, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H2591","IA","PPO","Yes",NA,NA,NA,"Medicare"
"1923",NA,"Sierra Health and Life Insurance Company, Inc. (IA,KS,MO,NE)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2001","IA","PPO","Yes",NA,3.5,3,"Medicare"
"2020",NA,"UnitedHealthcare Insurance Company (IA,KS,MO,NE)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2228","IA","PPO","Yes",NA,1.5,2.5,"Medicare"
"943",NA,"UnitedHealthcare Plan of the River Valley, Inc. dba UnitedHealthcare Community Plan of Iowa (UHCCP of Iowa)","IA","HMO","Yes (Interim)",NA,NA,NA,"Medicaid"
"1042",NA,"Amerigroup Iowa Inc.","IA","HMO","No (Scheduled)",NA,NA,NA,"Medicaid"
"1139",NA,"AmeriHealth Caritas Iowa, Inc.","IA","HMO","No (Scheduled)",NA,NA,NA,"Medicaid"
"944",4,"Blue Cross and Blue Shield of Kansas City, Good Health HMO, Inc.","KS","HMO","Yes",4,3,3,"Commercial"
"1043",3.5,"Blue Cross and Blue Shield of Kansas City","KS","PPO","Yes",3,2.5,3.5,"Commercial"
"1140",3.5,"Coventry Health Care of Kansas, Inc.
                                    
                                        
                                    

                                    
                                        Special Area: Kansas","KS","HMO/POS","Yes",3.5,2.5,3,"Commercial"
"1237",3.5,"Humana Health Plan Inc. - Kansas City","KS","HMO/POS","Yes",4,2.5,3,"Commercial"
"1336",3,"Humana Insurance Company (KS, MO)","KS","PPO","Yes",2,2.5,3,"Commercial"
"1433",3,"United Healthcare Services, Inc  (Kansas)","KS","PPO","Yes",3,2,2.5,"Commercial"
"1531",3,"UnitedHealthcare Insurance Company (Kansas)","KS","PPO","Yes",3,2,2.5,"Commercial"
"1630",2.5,"Aetna Life Insurance Company (Kansas)","KS","PPO","Yes",3,2,2.5,"Commercial"
"1727",2.5,"Cigna Health and Life Insurance Company - Kansas","KS","PPO","Yes",2.5,2,2,"Commercial"
"1825",2.5,"Cigna HealthCare of St. Louis, Inc.","KS","HMO/POS","Yes",2.5,2,1.5,"Commercial"
"1924",2.5,"Connecticut General Life Insurance Company - Kansas","KS","PPO","Yes",2.5,2,2,"Commercial"
"2021",2.5,"Coventry Health and Life Insurance Company (Kansas)","KS","PPO","Yes",2.5,1.5,2.5,"Commercial"
"2120",NA,"Aetna Health Inc. (Pennsylvania) - Missouri","KS","HMO/POS","Yes",2,NA,NA,"Commercial"
"2219",NA,"UnitedHealthcare of the Midwest, Inc.","KS","HMO/POS","Yes",NA,NA,NA,"Commercial"
"2315",NA,"Compass Rose Health Plan","KS","PPO","No",NA,NA,NA,"Commercial"
"945",4,"Aetna Health Inc. (Pennsylvania) - Missouri
                                    
                                        
                                    

                                    
                                        CMS Contract: H3931","KS","HMO","Yes",3.5,3.5,3.5,"Medicare"
"1044",4,"Aetna Life Insurance Company (Kansas)
                                    
                                        
                                    

                                    
                                        CMS Contract: H5521","KS","PPO","Yes",4,4,3.5,"Medicare"
"1141",4,"Humana Insurance Company (KS, MO)
                                    
                                        
                                    

                                    
                                        CMS Contract: H1716","KS","PPO","Yes",3.5,3,3,"Medicare"
"1238",4,"UnitedHealthcare Insurance Company - Maryland (Medicare)
                                    
                                        
                                    

                                    
                                        CMS Contract: H5652","KS","HMO","No",4,4.5,4,"Medicare"
"1337",3.5,"Humana Health Plan Inc. - Kansas City
                                    
                                        
                                    

                                    
                                        CMS Contract: H2649","KS","HMO","Yes",3,3.5,3,"Medicare"
"1434",3.5,"UnitedHealthcare of the Midwest, Inc.(Medicare)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2654","KS","HMO/POS","Yes",3,3,3,"Medicare"
"1532",3,"Coventry Health and Life Insurance Company (Iowa)
                                    
                                        
                                    

                                    
                                        CMS Contract: H1608","KS","PPO","No",3.5,3.5,3,"Medicare"
"1631",3,"Coventry Health Care of Kansas, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H2672","KS","HMO","No",3,3,3,"Medicare"
"1728",3,"Humana Insurance Company
                                    
                                        
                                    

                                    
                                        CMS Contract: R5826","KS","PPO","No",3.5,2.5,3,"Medicare"
"1826",NA,"Sierra Health and Life Insurance Company, Inc. (IA,KS,MO,NE)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2001","KS","PPO","Yes",NA,3.5,3,"Medicare"
"1925",NA,"UnitedHealthcare Insurance Company (IA,KS,MO,NE)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2228","KS","PPO","Yes",NA,1.5,2.5,"Medicare"
"946",3.5,"UnitedHealthcare of the Midwest, Inc. dba UnitedHealthcare Community Plan (KS)","KS","HMO","Yes",3.5,2.5,3,"Medicaid"
"1045",NA,"Amerigroup Kansas, Inc.","KS","HMO","Yes",NA,NA,NA,"Medicaid"
"1142",NA,"Sunflower State Health Plan","KS","HMO","Yes",NA,NA,NA,"Medicaid"
"947",3.5,"Humana Health Plan, Inc - Kentucky","KY","PPO","Yes",2.5,3,2.5,"Commercial"
"1046",3,"Aetna Health Inc. (Pennsylvania) - Ohio","KY","HMO/POS","Yes",2.5,2.5,2.5,"Commercial"
"1143",3,"Aetna Life Insurance Company (Kentucky)","KY","PPO","Yes",3,2,2.5,"Commercial"
"1239",3,"Anthem Health Plans Kentucky, Inc. dba Anthem Blue Cross and Blue Shield in Kentucky","KY","HMO","Yes",3,3,2,"Commercial"
"1338",3,"Humana Health Plan, Inc - Kentucky","KY","HMO/POS","Yes",2.5,3,2.5,"Commercial"
"1435",3,"United Healthcare Services, Inc  (Kentucky)","KY","PPO","Yes",2.5,3,2.5,"Commercial"
"1533",3,"UnitedHealthcare Insurance Company (Kentucky)","KY","PPO","Yes",2.5,3,2.5,"Commercial"
"1632",2.5,"Anthem Health Plans Kentucky, Inc. dba Anthem Blue Cross and Blue Shield in Kentucky","KY","PPO","Yes",3.5,2,1.5,"Commercial"
"1729",2.5,"Cigna Health and Life Insurance Company - Kentucky","KY","PPO","Yes",3,2,2,"Commercial"
"1827",2.5,"Connecticut General Life Insurance Company - Kentucky","KY","PPO","Yes",3,2,2,"Commercial"
"1926",NA,"Baptist Health Plan","KY","PPO","No (In process)",NA,NA,NA,"Commercial"
"2022",NA,"Compass Rose Health Plan","KY","PPO","No",NA,NA,NA,"Commercial"
"948",4,"Aetna Health Inc. (Pennsylvania) - Ohio
                                    
                                        
                                    

                                    
                                        CMS Contract: H3931","KY","HMO","Yes",3.5,3.5,3.5,"Medicare"
"1047",4,"Aetna Life Insurance Company (Kentucky)
                                    
                                        
                                    

                                    
                                        CMS Contract: H5521","KY","PPO","Yes",4,4,3.5,"Medicare"
"1144",4,"Humana Health Plan of Ohio, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H8953","KY","HMO","Yes",3,3.5,3.5,"Medicare"
"1240",4,"Humana Insurance Company (Kentucky)
                                    
                                        
                                    

                                    
                                        CMS Contract: H6609","KY","PPO","Yes",4,3.5,3,"Medicare"
"1339",4,"UnitedHealthcare of Wisconsin, Inc. - Ohio
                                    
                                        
                                    

                                    
                                        CMS Contract: H5253","KY","HMO/POS","Yes",4,4,3,"Medicare"
"1436",4,"UnitedHealthcare of Wisconsin, Inc.(South)-KY/NC/TN/VA H5253
                                    
                                        
                                    

                                    
                                        CMS Contract: H5253","KY","HMO/POS","Yes",4,4,3,"Medicare"
"1534",3.5,"Humana Health Plan, Inc - Kentucky
                                    
                                        
                                    

                                    
                                        CMS Contract: H2012","KY","HMO","Yes",3.5,3,3,"Medicare"
"1633",3.5,"Humana Insurance Company (Indiana)
                                    
                                        
                                    

                                    
                                        CMS Contract: H1510","KY","PPO","No",4,3,3.5,"Medicare"
"1730",3,"Humana Benefit Plan of Illinois, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H5525","KY","PPO","No",3.5,3,3,"Medicare"
"1828",3,"Humana Insurance Company
                                    
                                        
                                    

                                    
                                        CMS Contract: R5826","KY","PPO","No",3.5,2.5,3,"Medicare"
"1927",2.5,"WellCare Health Insurance of Illinois, Inc. dba WellCare of Kentucky, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H9730","KY","HMO/POS","Yes",1.5,1.5,2.5,"Medicare"
"2023",NA,"Gateway Health Plan, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H9190","KY","HMO","No",NA,0.5,2,"Medicare"
"2121",NA,"RiverLink Health
                                    
                                        
                                    

                                    
                                        CMS Contract: H9208","KY","HMO","No",NA,NA,0.5,"Medicare"
"2220",NA,"Sierra Health and Life Insurance Company, Inc. (KY)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2001","KY","PPO","Yes",NA,3.5,3,"Medicare"
"2316",NA,"UnitedHealthcare Insurance Company (AL,FL,GA,KY,MS,NC,SC,TN)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2228","KY","PPO","Yes",NA,1.5,2.5,"Medicare"
"2414",NA,"Anthem Insurance Companies, Inc. dba Anthem Blue Cross and Blue Shield in Indiana (Regional)
                                    
                                        
                                    

                                    
                                        CMS Contract: R5941","KY","PPO","No",NA,NA,NA,"Medicare"
"949",4,"University Health Care (UHC) dba Passport Health Plan (PHP)","KY","HMO","Yes",3,3.5,3,"Medicaid"
"1048",3.5,"WellCare Health Insurance of Illinois, Inc. dba WellCare of Kentucky, Inc.","KY","HMO","Yes",4,2.5,3,"Medicaid"
"1145",3,"Aetna Better Health of Kentucky","KY","HMO","Yes",3,2.5,3,"Medicaid"
"1241",2.5,"Humana Health Plan, Inc - Kentucky","KY","HMO","No (Scheduled)",3.5,2,2.5,"Medicaid"
"1340",2,"Anthem Health Plans Kentucky, Inc. dba Anthem Blue Cross and Blue Shield in Kentucky","KY","HMO","No",3,1.5,2.5,"Medicaid"
"1437",NA,"Anthem Kentucky Managed Care Plan, Inc.","KY","HMO","No (Scheduled)",NA,NA,NA,"Medicaid"
"950",4,"Vantage Health Plan, Inc.","LA","HMO/POS","Yes",4.5,3,3,"Commercial"
"1049",3.5,"Humana Health Benefit Plan of Louisiana, Inc.","LA","HMO/POS","Yes",3.5,3,3,"Commercial"
"1146",3,"Aetna Health Inc. (Louisiana) dba Coventry Health Care of Louisiana","LA","HMO/POS","Yes",3.5,2.5,2,"Commercial"
"1242",3,"United Healthcare Services, Inc  (Louisiana)","LA","PPO","Yes",4,2.5,2,"Commercial"
"1341",3,"UnitedHealthcare Insurance Company (Louisiana)","LA","PPO","Yes",4,2.5,2,"Commercial"
"1438",2.5,"Aetna Life Insurance Company (Louisiana)","LA","PPO","Yes",4.5,2,1.5,"Commercial"
"1535",2.5,"CHRISTUS Health Plan","LA","HMO","No",4,2,2,"Commercial"
"1634",2.5,"Cigna Health and Life Insurance Company - Louisiana","LA","PPO","Yes",3.5,2,1.5,"Commercial"
"1731",2.5,"Connecticut General Life Insurance Company - Louisiana","LA","PPO","Yes",3.5,2,1.5,"Commercial"
"1829",NA,"Compass Rose Health Plan","LA","PPO","No",NA,NA,NA,"Commercial"
"951",4,"Humana Health Benefit Plan of Louisiana, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H1951","LA","HMO","Yes",3.5,3.5,3,"Medicare"
"1050",4,"Peoples Health Network
                                    
                                        
                                    

                                    
                                        CMS Contract: H1961","LA","HMO","Yes",3,4,4,"Medicare"
